client_id,client_yr_tenure,client_mo_tenure,client_age,gender,num_accts,balance,calls_6m,logins_6m,age_group
9150149,5,66,43,Unknown,2,104179.39,2,5,40-64
7176877,5,66,35,Unknown,2,75279.47,2,5,25-39
410752,11,142,19,Male,2,25640.01,2,5,18-24
3979917,19,239,63,Male,2,374919.6,4,7,40-64
7759130,5,69,64,Unknown,2,78278.56,6,9,40-64
5587497,7,91,64,Unknown,2,410277.5,5,8,40-64
4264493,5,67,22,Unknown,3,36298.009999999995,6,9,18-24
9492169,4,58,42,Unknown,2,98181.16,0,3,40-64
5816825,14,178,54,Female,2,32873.33,3,6,40-64
9692048,11,142,38,Male,2,87935.1,4,7,25-39
9250552,7,95,33,Unknown,2,77674.34,2,5,25-39
1730954,5,63,36,Female,2,58456.9,0,3,25-39
2264903,15,187,61,Male,2,63368.8,2,5,40-64
7321667,7,95,39,Unknown,2,68761.48999999999,6,9,40-64
1460648,24,288,40,Female,5,121700.66,5,8,40-64
2942135,21,261,68,Unknown,3,417847.47,6,9,65+
1459001,20,251,72,Male,3,166623.2,1,4,65+
6398341,20,250,33,Female,3,109127.33,6,9,25-39
5531076,19,228,44,Male,2,67727.62,2,5,40-64
3162487,8,101,40,Unknown,2,259691.04,0,3,40-64
2570380,4,56,52,Unknown,2,51670.67999999999,2,5,40-64
5449775,4,56,28,Unknown,2,46749.74,2,5,25-39
8415669,14,178,59,Male,2,43793.82,0,3,40-64
6810931,5,60,23,Unknown,2,45780.6,5,8,18-24
8096768,10,123,60,Female,2,91761.22,0,3,40-64
6737425,15,190,59,Male,2,83778.79000000001,5,8,40-64
7949341,14,175,48,Unknown,2,25253.269999999997,0,3,40-64
7458635,7,94,26,Unknown,3,158434.49,6,9,25-39
3322068,15,188,45,Female,2,140687.41,6,9,40-64
1643775,4,59,18,Unknown,2,25270.359999999997,1,4,18-24
934609,14,169,54,Female,2,136573.63,1,4,40-64
2408879,4,58,49,Unknown,2,208004.65,5,8,40-64
1596507,28,336,78,Female,3,175883.31,6,9,65+
8763719,12,149,40,Male,3,98540.5,6,9,40-64
7702214,6,73,32,Unknown,2,43988.28,6,9,25-39
200698,13,156,31,Male,2,28559.28,2,5,25-39
7449147,27,330,26,Female,2,215247.65999999997,3,6,25-39
2096514,14,175,59,Female,2,84419.06,1,4,40-64
5474775,14,175,40,Female,2,95855.61,0,3,40-64
6226205,12,155,68,Female,2,45294.1,4,7,65+
2069824,13,167,50,Female,2,52157.46,6,9,40-64
7045562,7,96,33,Unknown,3,73644.53,1,4,25-39
8501949,7,93,27,Unknown,2,76834.13,5,8,25-39
5376149,20,242,56,Male,2,858054.38,6,9,40-64
148954,13,163,59,Female,2,89263.33,3,6,40-64
7803610,7,91,29,Unknown,2,66958.67,6,9,25-39
7772844,4,59,37,Unknown,3,43012.02,0,3,25-39
4681026,6,81,57,Unknown,2,99729.87,6,9,40-64
9242446,15,182,70,Male,2,56986.04,3,6,65+
1905822,11,134,28,Female,2,49186.49,2,5,25-39
5586955,6,80,32,Unknown,2,30493.379999999997,0,3,25-39
6980695,4,56,74,Unknown,2,143304.76,5,8,65+
3097635,9,113,22,Male,2,27215.69,0,3,18-24
2559930,14,172,50,Female,2,26430.43,5,8,40-64
2693746,14,172,51,Male,2,35206.61,0,3,40-64
9073948,7,85,58,Unknown,2,175468.15000000002,6,9,40-64
9897542,6,82,23,Unknown,2,66806.76999999999,2,5,18-24
6652996,10,120,50,Female,2,48410.619999999995,1,4,40-64
5601417,8,105,55,Female,2,23799.359999999997,0,3,40-64
4560228,6,73,53,Male,2,98419.63,1,4,40-64
1592329,17,212,27,Unknown,2,27189.73,0,3,25-39
5115750,22,271,62,Female,4,351838.75,1,4,40-64
7885704,20,244,65,Female,2,34564.77,0,3,65+
2876901,4,58,54,Unknown,2,47348.42999999999,0,3,40-64
2365190,5,66,29,Unknown,3,30376.22,3,6,25-39
4516383,8,99,45,Unknown,2,91159.68,6,9,40-64
730546,16,200,51,Female,2,33972.979999999996,3,6,40-64
1860982,7,94,51,Unknown,2,98988.68,0,3,40-64
1945276,16,193,50,Male,2,91623.79,1,4,40-64
1525212,13,157,33,Female,2,72424.95999999999,6,9,25-39
7139038,6,78,39,Unknown,2,31918.65,3,6,40-64
3678422,17,204,33,Male,3,339660.52999999997,6,9,25-39
121354,5,60,30,Unknown,2,35592.44,5,8,25-39
7597197,12,151,33,Female,2,60175.34,2,5,25-39
8806527,10,121,28,Unknown,2,55742.17999999999,5,8,25-39
4561742,15,184,44,Male,3,240993.69,3,6,40-64
8011247,5,60,59,Male,2,31921.909999999996,6,9,40-64
6689398,27,335,68,Male,2,89224.4,3,6,65+
5416822,14,168,39,Male,2,40549.95,1,4,40-64
3093790,29,357,69,Female,2,107604.36,3,6,65+
9625688,9,111,35,Male,2,91643.57,2,5,25-39
7280817,15,185,54,Male,2,192518.99,6,9,40-64
6055529,6,76,27,Unknown,2,48601.07,2,5,25-39
6679780,5,68,71,Female,2,36978.84,3,6,65+
2668008,6,73,34,Unknown,2,38654.73,3,6,25-39
9247669,6,81,38,Unknown,3,414323.08,6,9,25-39
7704754,12,148,25,Male,2,31514.339999999997,5,8,25-39
3455403,8,99,55,Male,2,73520.62,4,7,40-64
3930919,10,129,35,Male,2,64113.1,0,3,25-39
2615801,5,60,27,Unknown,3,72480.08,5,8,25-39
4110312,8,97,66,Unknown,2,36933.259999999995,4,7,65+
7794321,12,152,28,Male,2,37879.82,3,6,25-39
1165994,5,63,69,Unknown,2,226833.77,2,5,65+
5650730,10,122,43,Male,2,474954.32,5,8,40-64
7695537,6,83,54,Unknown,2,174976.65999999997,1,4,40-64
3545210,28,347,83,Female,2,47993.13,2,5,65+
4149206,27,324,56,Female,2,27023.89,1,4,40-64
3431014,13,162,43,Male,2,163374.12,3,6,40-64
8972482,16,194,62,Male,3,396305.98,6,9,40-64
151444,7,95,31,Unknown,2,34814.84,5,8,25-39
3778929,13,156,59,Female,2,300637.25,5,8,40-64
9341975,8,97,26,Unknown,2,28038.0,6,9,25-39
9070908,6,83,54,Unknown,2,55787.69,0,3,40-64
3070720,6,74,29,Unknown,3,47151.82,2,5,25-39
1840230,6,82,29,Unknown,2,163702.91999999998,6,9,25-39
4761400,15,190,56,Female,2,71982.87,2,5,40-64
312094,4,56,21,Unknown,2,58108.74,3,6,18-24
9435892,17,204,47,Male,2,86797.79999999999,6,9,40-64
3270955,6,81,74,Unknown,2,37672.53,3,6,65+
6840204,7,95,58,Unknown,2,31129.409999999996,3,6,40-64
8971654,15,186,61,Female,2,71995.54000000001,3,6,40-64
7288041,25,300,32,Female,3,43742.869999999995,6,9,25-39
3143881,24,289,51,Female,2,53080.91,6,9,40-64
340192,24,295,73,Female,2,321351.47,6,9,65+
7845532,23,282,71,Female,2,187639.61,4,7,65+
4447192,22,270,59,Male,2,40191.39,3,6,40-64
5119615,20,246,48,Female,2,243282.69,1,4,40-64
976546,19,229,38,Male,4,59503.189999999995,5,8,25-39
4644384,17,206,57,Unknown,2,35975.52,3,6,40-64
4028430,9,109,60,Male,2,87207.53,6,9,40-64
2519481,28,343,60,Male,2,143769.09,5,8,40-64
4412954,5,66,21,Unknown,2,101928.87,6,9,18-24
9635691,4,59,46,Unknown,2,31486.81,6,9,40-64
3362778,10,130,61,Female,2,127314.89,6,9,40-64
5687972,14,176,34,Male,2,24919.16,0,3,25-39
8676893,9,116,60,Female,2,88968.26,1,5,40-64
4399072,27,329,57,Female,3,117836.94,3,6,40-64
7705023,12,144,44,Female,2,60526.869999999995,0,3,40-64
4260236,12,155,60,Female,2,58615.38,0,4,40-64
8368220,7,93,28,Unknown,2,36539.119999999995,1,4,25-39
6929446,28,347,83,Male,2,326957.19,0,3,65+
1524426,8,99,36,Unknown,2,53131.28,2,5,25-39
1105924,13,161,52,Female,3,96007.87,5,8,40-64
6770720,14,179,62,Male,2,1907094.11,4,8,40-64
5572217,8,106,47,Female,2,30552.39,2,5,40-64
3604010,5,70,52,Unknown,2,32731.37,1,4,40-64
8506583,6,81,27,Female,2,51726.56,6,9,25-39
4853148,9,109,61,Female,2,190619.33,2,5,40-64
425532,5,67,42,Unknown,4,112715.89,6,9,40-64
7307378,12,154,69,Male,2,36397.41,0,3,65+
929350,9,111,72,Male,3,190530.62,5,8,65+
1435050,15,189,52,Female,2,1589727.12,1,4,40-64
929038,8,99,60,Unknown,3,125733.21,6,9,40-64
5205837,9,119,56,Male,2,114022.38,5,8,40-64
5754354,15,185,38,Female,2,34866.45,0,3,25-39
4231609,6,75,45,Unknown,2,39335.899999999994,2,5,40-64
493194,6,75,57,Unknown,2,66942.64,2,5,40-64
3706067,6,81,76,Unknown,2,167990.39,3,6,65+
5474772,8,106,66,Female,2,168966.38,4,7,65+
3937930,5,66,66,Unknown,2,430081.07,3,6,65+
4088467,13,166,36,Female,2,103756.74,0,3,25-39
3767937,15,189,53,Male,2,47734.69,3,6,40-64
278839,11,143,62,Female,2,33051.97,1,4,40-64
9989642,6,78,63,Unknown,2,202064.63,5,8,40-64
8789491,5,69,22,Unknown,2,40487.92999999999,2,5,18-24
692622,4,59,25,Unknown,2,31803.51,3,6,25-39
8253877,16,202,36,Male,2,120874.88,6,9,25-39
1168373,27,326,61,Male,3,57600.689999999995,5,8,40-64
5981232,24,298,44,Female,2,26837.74,3,6,40-64
461846,24,290,78,Female,2,43246.11,4,7,65+
9821262,23,285,65,Male,3,1141653.0499999998,3,6,65+
416346,23,279,59,Female,2,216389.25,2,5,40-64
7185880,21,252,48,Male,2,96721.08,6,9,40-64
3460496,20,250,62,Female,2,31438.76,1,4,40-64
39968,4,57,50,Female,2,58599.55,3,6,40-64
9262445,7,88,47,Unknown,2,29672.82,1,4,40-64
171583,15,190,44,Female,2,125100.63,6,9,40-64
8730282,27,334,50,Female,3,464879.31,2,5,40-64
7412471,12,150,27,Female,4,144559.55,6,9,25-39
86877,4,58,28,Unknown,2,40308.74,1,4,25-39
7669500,3,46,58,Unknown,3,64159.92,1,4,40-64
6488984,9,114,40,Male,2,73552.72,0,3,40-64
327151,14,174,74,Male,5,214762.73,1,4,65+
1413769,13,162,55,Female,3,48092.82,1,4,40-64
3246979,6,72,57,Female,2,264334.41,6,9,40-64
7056174,8,107,60,Female,2,433799.34,6,9,40-64
7205884,15,190,25,Female,2,34281.18,0,3,25-39
6201791,27,324,66,Male,2,51930.13,5,8,65+
3527743,6,76,21,Unknown,2,27047.89,2,5,18-24
7018468,9,113,27,Male,4,106785.05,2,5,25-39
1949872,13,164,37,Male,3,132243.59999999998,6,9,25-39
1056722,10,131,51,Male,2,45437.91,0,3,40-64
1887639,15,190,67,Unknown,2,174510.75,3,6,65+
7153152,6,75,44,Unknown,3,207071.7,6,9,40-64
1897278,5,65,41,Male,2,63939.61,4,7,40-64
820519,5,63,60,Male,2,384904.34,3,6,40-64
4653489,6,82,46,Unknown,2,31650.51,1,4,40-64
3660141,4,59,23,Unknown,2,37244.36,6,9,18-24
6815257,46,554,72,Male,2,92157.08,1,4,65+
9767681,6,82,47,Unknown,2,50914.39,6,9,40-64
4474907,6,83,32,Unknown,2,31930.31,0,3,25-39
6717435,6,83,45,Unknown,3,99839.96,2,5,40-64
6958124,10,129,59,Male,3,148741.47,2,6,40-64
5869570,11,140,47,Male,2,25084.35,1,4,40-64
979208,5,69,20,Unknown,2,29760.539999999997,0,3,18-24
681824,9,118,33,Female,2,34537.7,1,4,25-39
9006366,5,70,25,Male,2,46898.97,6,9,25-39
8274863,6,73,27,Unknown,2,31559.839999999997,6,9,25-39
4055202,10,131,29,Male,2,118923.62,6,9,25-39
9358802,14,175,33,Female,2,109642.16,6,9,25-39
5749370,4,59,22,Unknown,2,50677.64,6,9,18-24
8333682,8,107,34,Female,2,36660.31,0,3,25-39
203223,24,292,60,Male,3,1113383.46,6,9,40-64
9153853,22,273,42,Male,2,97065.25,6,9,40-64
9546409,21,257,27,Male,3,117906.94,6,9,25-39
3544760,21,254,55,Male,2,122671.45,0,3,40-64
9308901,20,246,42,Female,2,41536.96,2,5,40-64
72395,18,225,48,Male,2,208866.05,4,7,40-64
2346575,15,190,75,Male,2,61693.2,4,7,65+
7995744,15,182,39,Male,2,57533.84,3,6,40-64
5078188,11,142,31,Female,2,49445.67999999999,5,8,25-39
6250726,5,65,71,Unknown,2,40124.17,0,3,65+
7434562,10,128,74,Female,2,25963.06,2,6,65+
4877364,12,155,76,Male,4,2141137.39,0,3,65+
3736142,7,86,43,Unknown,2,45584.19,0,3,40-64
9863604,5,65,40,Unknown,2,36436.59,3,6,40-64
8284433,10,131,63,Male,2,53551.899999999994,6,9,40-64
7183351,8,96,28,Unknown,2,78197.01999999999,2,5,25-39
3959099,11,135,32,Male,2,48712.08,5,8,25-39
4362459,21,258,65,Female,2,35035.299999999996,6,9,65+
3083365,7,86,72,Unknown,2,1260146.5699999998,5,8,65+
556698,4,56,57,Unknown,2,164270.90000000002,2,5,40-64
4333518,10,126,32,Male,2,39164.23,6,9,25-39
6540065,7,91,63,Unknown,2,52180.97,3,6,40-64
1646150,5,67,66,Male,2,361345.09,6,9,65+
6550550,5,67,58,Female,2,32744.96,3,6,40-64
4319069,14,175,24,Male,3,55169.44,2,5,25-39
5931603,5,66,31,Unknown,2,66328.35,2,5,25-39
2938423,6,72,36,Unknown,2,25590.73,6,9,25-39
2215051,12,154,66,Female,3,122246.45,6,9,65+
2952627,5,70,46,Male,2,34979.78,2,5,40-64
2790667,4,58,22,Unknown,2,44144.34,1,4,18-24
9027736,10,130,79,Female,2,217728.64,4,7,65+
7240133,7,92,65,Male,3,62814.58,3,6,65+
6196555,4,56,69,Unknown,3,310089.38,6,9,65+
6012640,29,359,59,Female,2,89726.89,2,5,40-64
5966661,5,71,29,Unknown,2,39556.42,1,4,25-39
1820934,5,70,40,Unknown,2,40535.55,0,3,40-64
7190256,8,106,31,Female,2,53434.92999999999,6,9,25-39
9048757,15,190,60,Female,2,591058.3500000001,0,3,40-64
5937897,17,210,63,Male,2,482055.17,0,3,40-64
560810,14,176,34,Female,3,57175.22,2,5,25-39
704762,6,82,27,Unknown,3,83788.5,6,9,25-39
1350724,4,58,42,Unknown,2,38033.55,0,3,40-64
9234234,8,103,26,Male,2,65872.88,6,9,25-39
6765972,7,85,56,Unknown,2,24701.85,5,8,40-64
8037116,4,58,23,Unknown,2,30552.19,0,3,18-24
2754680,7,89,41,Unknown,2,247752.24,2,5,40-64
8984143,14,168,40,Male,2,26248.409999999996,2,5,40-64
9797884,5,65,61,Unknown,3,77371.48999999999,6,9,40-64
7680980,13,159,23,Male,3,117685.13,6,9,18-24
4928575,25,305,60,Female,2,30975.55,0,3,40-64
2406021,23,286,49,Male,2,483324.86,4,7,40-64
1908158,21,263,66,Female,2,161959.26,2,5,65+
881563,21,262,49,Male,2,477340.15,5,8,40-64
2653016,21,258,53,Female,2,273573.13,1,4,40-64
548340,21,255,46,Unknown,2,38001.58,2,5,40-64
2609914,17,214,45,Female,3,79648.2,0,3,40-64
3055755,17,212,44,Female,2,59154.02,6,9,40-64
8798149,16,198,50,Female,3,218582.15,0,3,40-64
4278502,10,131,23,Female,2,86769.69,2,5,18-24
5004793,25,310,59,Female,3,90540.4,1,6,40-64
1040359,5,63,47,Unknown,3,50844.64,2,5,40-64
1334827,11,141,38,Female,2,76572.53,0,3,25-39
8945610,26,319,71,Female,2,170208.0,3,6,65+
9371037,32,395,68,Male,3,181523.87,2,6,65+
2509909,9,108,56,Male,3,120915.34,6,9,40-64
2600705,15,181,61,Female,2,1278380.8099999998,6,9,40-64
3442959,14,173,34,Female,2,35656.28,6,9,25-39
9207047,16,202,49,Female,2,29978.94,0,3,40-64
3991847,5,65,33,Unknown,2,28189.909999999996,2,5,25-39
2959476,9,119,59,Female,2,47887.98,6,9,40-64
973686,10,130,28,Male,3,44990.49,1,4,25-39
7988248,15,189,51,Male,2,42138.14,6,9,40-64
3158341,27,324,71,Male,3,1581691.79,6,9,65+
9373092,5,68,39,Female,2,59201.04,5,8,40-64
7561241,5,71,55,Unknown,3,1475524.6,3,6,40-64
3590454,20,242,68,Female,2,156109.43,6,9,65+
4374343,4,55,53,Female,2,180359.6,2,5,40-64
1025015,16,203,46,Male,2,163637.52000000002,5,8,40-64
6524861,5,63,65,Female,2,162005.72999999998,0,3,65+
3668675,6,81,48,Female,2,48875.46,2,5,40-64
8257047,24,297,24,Male,2,34710.92,2,5,25-39
1753961,4,57,49,Unknown,2,48917.99,2,5,40-64
9432051,7,92,39,Unknown,2,99532.56,3,6,40-64
9591707,11,140,49,Male,2,34721.08,3,6,40-64
5522802,4,57,39,Unknown,3,66114.18,4,7,40-64
5319506,5,60,33,Unknown,2,44387.03999999999,3,6,25-39
6399171,19,239,58,Male,2,119445.0,5,8,40-64
7569257,4,59,54,Female,2,33294.92,2,5,40-64
547839,11,141,44,Female,2,75677.53,6,9,40-64
5781524,5,71,42,Unknown,3,55532.59,2,5,40-64
6286537,7,91,27,Unknown,2,31480.81,1,4,25-39
2529465,9,116,35,Male,2,60796.07,6,9,25-39
4937056,14,172,19,Male,4,65365.75,0,3,18-24
3132961,9,119,58,Female,2,23790.4,6,9,40-64
6248651,17,213,45,Male,2,24110.089999999997,6,9,40-64
7187827,15,183,45,Female,2,156436.78999999998,3,6,40-64
9516559,9,115,29,Male,2,32127.71,5,8,25-39
2166490,9,117,63,Female,2,249320.51,4,7,40-64
9876315,11,140,56,Female,2,121203.96,3,6,40-64
9795687,14,168,69,Male,2,65376.95,3,6,65+
3573589,11,136,46,Male,2,57971.45,3,6,40-64
6082639,24,299,52,Male,5,208786.33,2,5,40-64
8163796,23,287,62,Female,2,126817.43,3,6,40-64
3191374,23,286,37,Female,2,57619.25,6,9,25-39
3334174,22,269,31,Male,4,238363.85,4,7,25-39
2057447,20,250,40,Female,2,55884.24,0,3,40-64
3778920,21,253,61,Female,2,33825.009999999995,4,7,40-64
4834461,23,287,55,Male,2,522457.42,3,6,40-64
2365886,21,253,75,Male,3,234993.23,4,7,65+
4848480,18,223,27,Male,2,34901.03,6,9,25-39
7656967,18,222,60,Female,3,458857.19,6,9,40-64
6559072,16,203,54,Female,2,54249.96,3,6,40-64
2960870,11,136,66,Female,2,190176.39,2,5,65+
399690,16,195,80,Male,2,34994.409999999996,4,7,65+
3319565,10,127,48,Male,2,23985.65,6,9,40-64
470365,20,242,44,Male,2,35829.85,1,4,40-64
5769715,20,245,75,Male,2,75862.58,6,9,65+
8336549,12,154,32,Female,2,115872.65,2,5,25-39
7313442,14,173,23,Male,3,72468.70999999999,6,9,18-24
327337,15,187,73,Male,2,699374.2300000001,6,9,65+
4296369,4,57,24,Unknown,2,29708.73,1,4,25-39
1830058,15,186,70,Female,2,1823190.18,5,8,65+
3337300,11,140,57,Female,2,23809.67,2,5,40-64
272484,14,169,48,Male,3,302145.66,6,9,40-64
6666419,9,110,44,Male,2,29272.359999999997,5,8,40-64
8830618,5,70,28,Unknown,2,42213.17999999999,5,8,25-39
8306917,11,143,60,Female,4,358021.67,6,9,40-64
8068242,15,189,47,Unknown,2,123841.85,4,7,40-64
2697914,15,186,36,Unknown,2,77452.7,3,6,25-39
8730685,19,228,71,Male,2,236328.14,0,3,65+
5894819,8,102,67,Unknown,2,88612.23,6,9,65+
3539231,6,72,26,Unknown,2,60709.59,1,4,25-39
9484909,7,94,20,Unknown,2,51542.32,0,3,18-24
695585,15,184,46,Male,2,121101.26,2,5,40-64
2485287,17,204,60,Male,2,190218.43,4,7,40-64
736752,12,155,34,Male,2,74871.78,1,4,25-39
1597883,5,70,25,Unknown,2,48374.16,5,8,25-39
675111,7,93,29,Unknown,2,53545.22,3,6,25-39
5116128,10,121,49,Female,3,970272.0,3,6,40-64
3194104,7,89,27,Unknown,2,34921.18,6,9,25-39
7151522,9,111,67,Female,3,216668.43,6,9,65+
3319635,7,88,52,Unknown,2,100239.82,6,9,40-64
3197890,5,68,50,Unknown,2,33357.63,6,9,40-64
28857,14,178,52,Male,2,104511.86,3,6,40-64
6334676,3,47,35,Unknown,3,175190.2,5,8,25-39
7781717,10,130,26,Female,2,77832.85,1,4,25-39
1465714,11,143,63,Female,2,867380.8300000001,0,3,40-64
6020962,13,167,28,Male,2,98550.05,3,6,25-39
2472976,4,54,67,Female,2,661718.3400000001,5,8,65+
7020609,28,347,60,Female,3,333574.56,1,4,40-64
2956739,4,59,53,Unknown,2,28462.57,2,5,40-64
5517122,14,174,57,Male,2,132760.77000000002,6,9,40-64
1241733,8,105,31,Female,3,36977.48,0,3,25-39
4458772,12,144,62,Unknown,2,34751.19,1,4,40-64
242235,23,287,44,Male,2,205171.12,5,8,40-64
8544599,23,277,56,Female,2,36103.57,1,4,40-64
793692,23,276,59,Male,2,62786.71,4,7,40-64
595241,22,274,49,Female,2,27579.24,2,5,40-64
9590571,21,253,72,Male,2,265461.39,0,4,65+
6206582,21,252,43,Female,2,129093.94,2,5,40-64
5954855,20,250,35,Male,4,264983.04,2,5,25-39
5076263,20,249,39,Male,2,116576.29,3,6,40-64
9957845,24,297,61,Female,2,110140.17,4,7,40-64
509544,19,228,52,Female,2,27084.14,1,4,40-64
8969191,18,222,49,Male,2,132946.55,2,5,40-64
1288843,18,221,62,Unknown,2,163709.74,1,4,40-64
4319222,5,66,31,Female,3,33047.84,0,3,25-39
9092174,9,116,28,Male,2,67734.59,4,7,25-39
3086399,16,194,48,Male,2,166456.55,6,9,40-64
730801,12,147,51,Male,2,47511.33,3,6,40-64
5552968,6,81,46,Unknown,2,24268.41,4,7,40-64
4366496,11,140,26,Male,3,315341.77999999997,6,9,25-39
6615925,11,140,32,Male,2,38937.73,2,5,25-39
9493249,21,257,73,Female,2,89903.73,2,5,65+
3290004,12,153,30,Female,2,81594.69,1,4,25-39
4866771,6,78,87,Unknown,2,41797.759999999995,6,9,65+
9517536,5,60,27,Unknown,2,56202.07,6,9,25-39
5293569,7,84,46,Unknown,2,29224.47,1,4,40-64
9754728,7,86,40,Unknown,2,128306.51,4,7,40-64
3777909,4,57,54,Unknown,3,48953.17999999999,0,3,40-64
2515665,10,121,63,Female,2,46489.399999999994,2,5,40-64
198935,4,56,65,Unknown,2,61573.14,3,6,65+
2449759,9,116,61,Female,2,117408.12,1,4,40-64
6641855,8,97,33,Unknown,2,81186.79000000001,4,7,25-39
3874169,11,132,37,Female,2,63217.28,3,6,25-39
392459,26,312,57,Unknown,3,172748.2,6,9,40-64
3806151,9,109,43,Male,2,157278.14,1,4,40-64
7414306,6,79,66,Unknown,2,65259.08,1,4,65+
9295772,5,64,51,Male,2,26280.289999999997,4,7,40-64
3887490,5,71,39,Unknown,2,59466.35,2,5,40-64
9138140,6,73,32,Unknown,2,45754.98,1,4,25-39
1346,14,177,46,Female,2,822512.91,3,6,40-64
1814940,7,94,48,Unknown,2,69194.14,2,5,40-64
9075393,12,146,48,Male,4,484570.93,6,9,40-64
16095,6,76,30,Unknown,2,81652.98,1,4,25-39
533553,24,289,67,Unknown,2,147539.34,2,5,65+
7452449,23,287,68,Female,3,131965.16,4,7,65+
5142178,23,277,58,Male,2,69415.56,5,8,40-64
9081837,20,251,21,Female,2,54398.53999999999,5,8,18-24
3022895,28,346,76,Male,2,104042.72,2,5,65+
6768127,7,94,31,Unknown,2,32021.979999999996,4,7,25-39
7244004,15,190,52,Female,2,755138.4700000001,1,4,40-64
4405688,9,118,53,Male,2,47707.67,0,3,40-64
2658149,21,262,57,Male,3,432275.28,3,6,40-64
6373368,16,194,55,Male,2,42066.73,1,4,40-64
